filename	description
fastq_merged/Rep1_ipt_merged.fastq	replicate1,input
fastq_merged/Rep1_P0_merged.fastq	replicate1,P0
fastq_merged/Rep1_P1-Calu3_noAb_merged.fastq	replicate1,P1(Calu3,no antibody)
fastq_merged/Rep1_P1-E6_noAb_merged.fastq	replicate1,P1(VeroE6,no antibody)
fastq_merged/Rep1_P1-Calu3_CoV44-62_merged.fastq	replicate1,P1(Calu3,with CoV44-62)
fastq_merged/Rep1_P1-E6_mCoV44-62_erged.fastq	replicate1,P1(VeroE6,)
fastq_merged/Rep1_P1-Calu3_CoV44-79_merged.fastq	replicate1,P1(Calu3,with CoV44-79)
fastq_merged/Rep1_P1-E6_CoV44-79_merged.fastq	replicate1,P1(VeroE6,with CoV44-79)
fastq_merged/Rep2_ipt_merged.fastq	replicate2,input
fastq_merged/Rep2_P0_merged.fastq	replicate2,P0
fastq_merged/Rep2_P1-Calu3_noAb_merged.fastq	replicate2,P1(Calu3,no antibody)
fastq_merged/Rep2_P1-E6_noAb_merged.fastq	replicate2,P1(VeroE6,no antibody)
fastq_merged/Rep2_P1-Calu3_CoV44-62_merged.fastq	replicate2,P1(Calu3,with CoV44-62)
fastq_merged/Rep2_P1-E6_mCoV44-62_erged.fastq	replicate2,P1(VeroE6,)
fastq_merged/Rep2_P1-Calu3_CoV44-79_merged.fastq	replicate2,P1(Calu3,with CoV44-79)
fastq_merged/Rep2_P1-E6_CoV44-79_merged.fastq	replicate2,P1(VeroE6,with CoV44-79)
